,#,Country,Tot. Area (Km²),Tot. Area (mi²),Land Area (Km²),Land Area (mi²),% of world landmass
0,1,Russia,17098242,6601665,16376870,6323142,11.0 %
1,2,Canada,9984670,3855101,9093510,3511022,6.1 %
2,3,China,9706961,3747877,9388211,3624807,6.3 %
3,4,United States,9372610,3618783,9147420,3531837,6.1 %
4,5,Brazil,8515767,3287955,8358140,3227095,5.6 %
5,6,Australia,7692024,2969906,7682300,2966151,5.2 %
6,7,India,3287590,1269345,2973190,1147955,2.0 %
7,8,Argentina,2780400,1073518,2736690,1056641,1.8 %
8,9,Kazakhstan,2724900,1052089,2699700,1042360,1.8 %
9,10,Algeria,2381741,919595,2381740,919595,1.6 %
10,11,DR Congo,2344858,905354,2267050,875313,1.5 %
11,12,Greenland,2166086,836330,410450,158476,0.3 %
12,13,Saudi Arabia,2149690,830000,2149690,830000,1.4 %
13,14,Mexico,1964375,758449,1943950,750563,1.3 %
14,15,Indonesia,1904569,735358,1811570,699451,1.2 %
15,16,Sudan,1886068,728215,1765048,681489,1.2 %
16,17,Libya,1759540,679362,1759540,679362,1.2 %
17,18,Iran,1648195,636371,1628550,628786,1.1 %
18,19,Mongolia,1564110,603906,1553560,599833,1.0 %
19,20,Peru,1285216,496224,1280000,494211,0.9 %
20,21,Chad,1284000,495755,1259200,486180,0.8 %
21,22,Niger,1267000,489191,1266700,489075,0.9 %
22,23,Angola,1246700,481353,1246700,481353,0.8 %
23,24,Mali,1240192,478841,1220190,471118,0.8 %
24,25,South Africa,1221037,471445,1213090,468376,0.8 %
25,26,Colombia,1141748,440831,1109500,428380,0.7 %
26,27,Ethiopia,1104300,426372,1000000,386102,0.7 %
27,28,Bolivia,1098581,424164,1083300,418264,0.7 %
28,29,Mauritania,1030700,397955,1030700,397955,0.7 %
29,30,Egypt,1002450,387048,995450,384345,0.7 %
30,31,Tanzania,945087,364900,885800,342009,0.6 %
31,32,Nigeria,923768,356669,910770,351650,0.6 %
32,33,Venezuela,916445,353841,882050,340561,0.6 %
33,34,Pakistan,881912,340508,770880,297638,0.5 %
34,35,Namibia,825615,318772,823290,317874,0.6 %
35,36,Mozambique,801590,309496,786380,303623,0.5 %
36,37,Turkey,783562,302535,769630,297156,0.5 %
37,38,Chile,756102,291932,743532,287079,0.5 %
38,39,Zambia,752612,290585,743390,287024,0.5 %
39,40,Myanmar,676578,261228,653290,252237,0.4 %
40,41,Afghanistan,652230,251827,652860,252071,0.4 %
41,42,Somalia,637657,246201,627340,242217,0.4 %
42,43,Central African Republic,622984,240535,622980,240534,0.4 %
43,44,South Sudan,619745,239285,610952,235890,0.4 %
44,45,Ukraine,603500,233013,579320,223677,0.4 %
45,46,Madagascar,587041,226658,581795,224632,0.4 %
46,47,Botswana,582000,224711,566730,218816,0.4 %
47,48,Kenya,580367,224081,569140,219746,0.4 %
48,49,France,551695,213011,547557,211413,0.4 %
49,50,Yemen,527968,203850,527970,203850,0.4 %
50,51,Thailand,513120,198117,510890,197256,0.3 %
51,52,Spain,505992,195365,498800,192588,0.3 %
52,53,Turkmenistan,488100,188456,469930,181441,0.3 %
53,54,Cameroon,475442,183569,472710,182514,0.3 %
54,55,Papua New Guinea,462840,178703,452860,174850,0.3 %
55,56,Sweden,450295,173860,410340,158433,0.3 %
56,57,Uzbekistan,447400,172742,425400,164248,0.3 %
57,58,Morocco,446550,172414,446300,172317,0.3 %
58,59,Iraq,438317,169235,434320,167692,0.3 %
59,60,Paraguay,406752,157048,397300,153398,0.3 %
60,61,Zimbabwe,390757,150872,386850,149364,0.3 %
61,62,Japan,377930,145920,364555,140755,0.2 %
62,63,Germany,357114,137882,348560,134580,0.2 %
63,64,Philippines,342353,132183,298170,115124,0.2 %
64,65,Congo,342000,132047,341500,131854,0.2 %
65,66,Finland,338424,130666,303890,117333,0.2 %
66,67,Vietnam,331212,127882,310070,119719,0.2 %
67,68,Malaysia,330803,127724,328550,126854,0.2 %
68,69,Norway,323802,125021,365268,141031,0.2 %
69,70,Côte d'Ivoire,322463,124504,318000,122780,0.2 %
70,71,Poland,312679,120726,306230,118236,0.2 %
71,72,Oman,309500,119499,309500,119499,0.2 %
72,73,Italy,301336,116346,294140,113568,0.2 %
73,74,Ecuador,276841,106889,248360,95892,0.2 %
74,75,Burkina Faso,272967,105393,273600,105638,0.2 %
75,76,New Zealand,270467,104428,263310,101665,0.2 %
76,77,Gabon,267668,103347,257670,99487,0.2 %
77,78,Western Sahara,266000,102703,266000,102703,0.2 %
78,79,Guinea,245857,94926,245720,94873,0.2 %
79,80,United Kingdom,242900,93784,241930,93410,0.2 %
80,81,Uganda,241550,93263,199810,77147,0.1 %
81,82,Ghana,238533,92098,227540,87854,0.2 %
82,83,Romania,238391,92043,230170,88869,0.2 %
83,84,Laos,236800,91429,230800,89112,0.2 %
84,85,Guyana,214969,83000,196850,76004,0.1 %
85,86,Belarus,207600,80155,202910,78344,0.1 %
86,87,Kyrgyzstan,199951,77201,191800,74054,0.1 %
87,88,Senegal,196722,75955,192530,74336,0.1 %
88,89,Syria,185180,71498,183630,70900,0.1 %
89,90,Cambodia,181035,69898,176520,68155,0.1 %
90,91,Uruguay,181034,69898,175020,67576,0.1 %
91,92,Suriname,163820,63251,156000,60232,0.1 %
92,93,Tunisia,163610,63170,155360,59985,0.1 %
93,94,Bangladesh,147570,56977,130170,50259,0.1 %
94,95,Nepal,147181,56827,143350,55348,0.1 %
95,96,Tajikistan,143100,55251,139960,54039,0.1 %
96,97,Greece,131990,50962,128900,49769,0.1 %
97,98,Nicaragua,130373,50337,120340,46464,0.1 %
98,99,North Korea,120538,46540,120410,46491,0.1 %
99,100,Malawi,118484,45747,94280,36402,0.1 %
100,101,Eritrea,117600,45406,101000,38996,0.1 %
101,102,Benin,112622,43484,112760,43537,0.1 %
102,103,Honduras,112492,43433,111890,43201,0.1 %
103,104,Liberia,111369,43000,96320,37189,0.1 %
104,105,Bulgaria,110879,42811,108560,41915,0.1 %
105,106,Cuba,109884,42426,106440,41097,0.1 %
106,107,Guatemala,108889,42042,107160,41375,0.1 %
107,108,Iceland,103000,39769,100250,38707,0.1 %
108,109,South Korea,100210,38691,97230,37541,0.1 %
109,110,Hungary,93028,35918,90530,34954,0.1 %
110,111,Portugal,92090,35556,91590,35363,0.1 %
111,112,Jordan,89342,34495,88780,34278,0.1 %
112,113,Serbia,88361,34116,87460,33768,0.1 %
113,114,Azerbaijan,86600,33436,82658,31914,0.1 %
114,115,Austria,83871,32383,82409,31818,0.1 %
115,116,United Arab Emirates,83600,32278,83600,32278,0.1 %
116,117,French Guiana,83534,32253,82200,31738,0.1 %
117,118,Czechia,78865,30450,77240,29823,0.1 %
118,119,Panama,75417,29119,74340,28703,0.0 %
119,120,Sierra Leone,71740,27699,72180,27869,0.0 %
120,121,Ireland,70273,27133,68890,26599,0.0 %
121,122,Georgia,69700,26911,69490,26830,0.0 %
122,123,Sri Lanka,65610,25332,62710,24212,0.0 %
123,124,Lithuania,65300,25212,62674,24199,0.0 %
124,125,Latvia,64559,24926,62200,24016,0.0 %
125,126,Togo,56785,21925,54390,21000,0.0 %
126,127,Croatia,56594,21851,55960,21606,0.0 %
127,128,Bosnia and Herzegovina,51209,19772,51000,19691,0.0 %
128,129,Costa Rica,51100,19730,51060,19714,0.0 %
129,130,Slovakia,49037,18933,48088,18567,0.0 %
130,131,Dominican Republic,48671,18792,48320,18656,0.0 %
131,132,Estonia,45227,17462,42390,16367,0.0 %
132,133,Denmark,43094,16639,42430,16382,0.0 %
133,134,Netherlands,41850,16158,33720,13019,0.0 %
134,135,Switzerland,41284,15940,39516,15257,0.0 %
135,136,Bhutan,38394,14824,38117,14717,0.0 %
136,137,Taiwan,36193,13974,35410,13672,0.0 %
137,138,Guinea-Bissau,36125,13948,28120,10857,0.0 %
138,139,Moldova,33846,13068,32850,12683,0.0 %
139,140,Belgium,30528,11787,30280,11691,0.0 %
140,141,Lesotho,30355,11720,30360,11722,0.0 %
141,142,Armenia,29743,11484,28470,10992,0.0 %
142,143,Solomon Islands,28896,11157,27990,10807,0.0 %
143,144,Albania,28748,11100,27400,10579,0.0 %
144,145,Equatorial Guinea,28051,10831,28050,10830,0.0 %
145,146,Burundi,27834,10747,25680,9915,0.0 %
146,147,Haiti,27750,10714,27560,10641,0.0 %
147,148,Rwanda,26338,10169,24670,9525,0.0 %
148,149,Republic of North Macedonia,25713,9928,25220,9737,0.0 %
149,150,Djibouti,23200,8958,23180,8950,0.0 %
150,151,Belize,22966,8867,22810,8807,0.0 %
151,152,El Salvador,21041,8124,20720,8000,0.0 %
152,153,Israel,20770,8019,21640,8355,0.0 %
153,154,Slovenia,20273,7827,20140,7776,0.0 %
154,155,New Caledonia,18575,7172,18280,7058,0.0 %
155,156,Fiji,18272,7055,18270,7054,0.0 %
156,157,Kuwait,17818,6880,17820,6880,0.0 %
157,158,Eswatini,17364,6704,17200,6641,0.0 %
158,159,Timor-Leste,14874,5743,14870,5741,0.0 %
159,160,Bahamas,13943,5383,10010,3865,0.0 %
160,161,Montenegro,13812,5333,13450,5193,0.0 %
161,162,Vanuatu,12189,4706,12190,4707,0.0 %
162,163,Falkland Islands,12173,4700,12170,4699,0.0 %
163,164,Qatar,11586,4473,11610,4483,0.0 %
164,165,Jamaica,10991,4244,10830,4181,0.0 %
165,166,Gambia,10689,4127,10120,3907,0.0 %
166,167,Lebanon,10452,4036,10230,3950,0.0 %
167,168,Cyprus,9251,3572,9240,3568,0.0 %
168,169,Puerto Rico,8870,3425,8870,3425,0.0 %
169,170,State of Palestine,6220,2402,6020,2324,0.0 %
170,171,Brunei Darussalam,5765,2226,5270,2035,0.0 %
171,172,Trinidad and Tobago,5130,1981,5130,1981,0.0 %
172,173,French Polynesia,4167,1609,3660,1413,0.0 %
173,174,Cabo Verde,4033,1557,4030,1556,0.0 %
174,175,Samoa,2842,1097,2830,1093,0.0 %
175,176,Luxembourg,2586,998,2590,1000,0.0 %
176,177,Réunion,2511,970,2500,965,0.0 %
177,178,Mauritius,2040,788,2030,784,0.0 %
178,179,Comoros,1862,719,1861,719,0.0 %
179,180,Guadeloupe,1628,629,1690,653,0.0 %
180,181,Faeroe Islands,1393,538,1396,539,0.0 %
181,182,Martinique,1128,436,1060,409,0.0 %
182,183,"China, Hong Kong SAR",1104,426,1050,405,0.0 %
183,184,Sao Tome and Principe,964,372,960,371,0.0 %
184,185,Turks and Caicos Islands,948,366,950,367,0.0 %
185,186,Kiribati,811,313,810,313,0.0 %
186,187,Bahrain,765,295,760,293,0.0 %
187,188,Dominica,751,290,750,290,0.0 %
188,189,Tonga,747,288,720,278,0.0 %
189,190,Singapore,710,274,700,270,0.0 %
190,191,Micronesia,702,271,700,270,0.0 %
191,192,Saint Lucia,616,238,610,236,0.0 %
192,193,Isle of Man,572,221,570,220,0.0 %
193,194,Guam,549,212,540,208,0.0 %
194,195,Andorra,468,181,470,181,0.0 %
195,196,Northern Mariana Islands,464,179,460,178,0.0 %
196,197,Palau,459,177,460,178,0.0 %
197,198,Seychelles,452,175,460,178,0.0 %
198,199,Curaçao,444,171,444,171,0.0 %
199,200,Antigua and Barbuda,442,171,440,170,0.0 %
200,201,Barbados,430,166,430,166,0.0 %
201,202,Saint Helena,394,152,390,151,0.0 %
202,203,Saint Vincent and the Grenadines,389,150,390,151,0.0 %
203,204,Mayotte,374,144,375,145,0.0 %
204,205,United States Virgin Islands,347,134,350,135,0.0 %
205,206,Grenada,344,133,340,131,0.0 %
206,207,Caribbean Netherlands,328,127,328,127,0.0 %
207,208,Malta,316,122,320,124,0.0 %
208,209,Maldives,300,116,300,116,0.0 %
209,210,Cayman Islands,264,102,240,93,0.0 %
210,211,Saint Kitts and Nevis,261,101,260,100,0.0 %
211,212,Niue,260,100,260,100,0.0 %
212,213,Saint Pierre and Miquelon,242,93,230,89,0.0 %
213,214,Cook Islands,236,91,240,93,0.0 %
214,215,American Samoa,199,77,200,77,0.0 %
215,216,Marshall Islands,181,70,180,69,0.0 %
216,217,Aruba,180,69,180,69,0.0 %
217,218,Liechtenstein,160,62,160,62,0.0 %
218,219,British Virgin Islands,151,58,150,58,0.0 %
219,220,Wallis and Futuna Islands,142,55,140,54,0.0 %
220,221,Montserrat,102,39,100,39,0.0 %
221,222,Anguilla,91,35,90,35,0.0 %
222,223,San Marino,61,24,60,23,0.0 %
223,224,Bermuda,54,21,50,19,0.0 %
224,225,Saint Martin,53,20,53,20,0.0 %
225,226,Sint Maarten,34,13,34,13,0.0 %
226,227,"China, Macao SAR",30,12,30,12,0.0 %
227,228,Tuvalu,26,10,30,12,0.0 %
228,229,Nauru,21,8,20,8,0.0 %
229,229,Saint Barthélemy,21,8,21,8,0.0 %
230,230,Tokelau,12,5,10,4,0.0 %
231,231,Gibraltar,6,2,10,4,0.0 %
232,232,Monaco,2,1,1,1,0.0 %
233,233,Holy See,0,0,0,0,0.0 %
234,234,Channel Islands,0,0,190,73,0.0 %
